price,volume,side,timestamp,order_type
3428.73,3.938,ask,2024-06-18T14:54:27.983446808+00:00,limit
3428.64,1.0,ask,2024-06-18T14:54:27.983446808+00:00,limit
3428.63,0.805,ask,2024-06-18T14:54:27.983446808+00:00,limit
3428.45,0.293,ask,2024-06-18T14:54:27.983446808+00:00,limit
3428.38,162.911,ask,2024-06-18T14:54:27.983446808+00:00,limit
3428.37,0.146,bid,2024-06-18T14:54:27.983446808+00:00,limit
3426.63,0.088,bid,2024-06-18T14:54:27.983446808+00:00,limit
3421.68,0.015,bid,2024-06-18T14:54:27.983446808+00:00,limit
3420.36,0.327,bid,2024-06-18T14:54:27.983446808+00:00,limit
3419.5,0.137,bid,2024-06-18T14:54:27.983446808+00:00,limit
